,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
145194,Maharashtra Circle,Aurangabad Region,Beed Division,Pimpalwandi S.O (Beed),413229,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
145195,Maharashtra Circle,Aurangabad Region,Beed Division,Umapur S.O,431130,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
145196,Maharashtra Circle,Aurangabad Region,Beed Division,Vssk Pangri S.O,431530,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
145197,Maharashtra Circle,Aurangabad Region,Beed Division,Wadwani S.O,431144,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
145198,Maharashtra Circle,Aurangabad Region,Beed Division,Amalner S.O (Beed),413207,PO,Delivery,BEED,MAHARASHTRA,18.948543,75.335388
145199,Maharashtra Circle,Aurangabad Region,Beed Division,Court Road S.O,431122,PO,Non Delivery,BEED,MAHARASHTRA,18.991224,75.750905
145200,Maharashtra Circle,Aurangabad Region,Beed Division,JBSSK GADI S.O,431143,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
145201,Maharashtra Circle,Aurangabad Region,Beed Division,Kadasakhar S.O,414208,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
145202,Maharashtra Circle,Aurangabad Region,Beed Division,Majalgaon S.O,431131,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
145203,Maharashtra Circle,Aurangabad Region,Beed Division,MARKET YARD S.O (Beed),431122,PO,Non Delivery,BEED,MAHARASHTRA,19.153481,76.209912
145204,Maharashtra Circle,Aurangabad Region,Beed Division,MEDICAL COLLEGE  S.O,431517,PO,Non Delivery,BEED,MAHARASHTRA,18.731737,76.371717
145205,Maharashtra Circle,Aurangabad Region,Beed Division,Nehru chowk S.O,431515,PO,Non Delivery,BEED,MAHARASHTRA,18.845317,76.519846
145206,Maharashtra Circle,Aurangabad Region,Beed Division,Parli Vaijinath S.O,431515,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
145207,Maharashtra Circle,Aurangabad Region,Beed Division,Patoda S.O (Beed),414204,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
145230,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Ahmedpur S.O (Latur),413515,PO,Delivery,LATUR,MAHARASHTRA,19.988439,73.720725
145231,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Chakur S.O,413513,PO,Delivery,LATUR,MAHARASHTRA,18.408454,76.55993
145232,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Deoni S.O,413519,PO,Delivery,LATUR,MAHARASHTRA,18.408454,76.55993
145233,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Hatte Road Latur S.O,413512,PO,Non Delivery,LATUR,MAHARASHTRA,18.4264686,77.0823432
145234,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Jalkot S.O,413532,PO,Delivery,LATUR,MAHARASHTRA,18.408454,76.55993
145236,Maharashtra Circle,Aurangabad Region,Pharbhani Division,Gangakhed S.O,431514,PO,Delivery,PARBHANI,MAHARASHTRA,20.231061,75.448517
